compression_method,compression_ratio,noise_level,classifier,accuracy,precision,recall,f1_score,roc_auc,train_time,test_time,feature_dim,compression_rate,n_train_samples,n_test_samples,model_file,timestamp
chaotic,0.25,0.0,random_forest,0.19,0.16656204906204905,0.19,0.17431686734318316,0.6265,0.17711734771728516,0.06873416900634766,135,75.0,200,100,chaotic_0.25_0.0_random_forest.pkl,2025-12-17 10:35:29
chaotic,0.25,0.0,svm,0.19,0.19398496240601504,0.19,0.1415728876240556,0.6357777777777778,0.028359413146972656,0.00928807258605957,135,75.0,200,100,chaotic_0.25_0.0_svm.pkl,2025-12-17 10:35:29
chaotic,0.25,0.0,xgboost,0.17,0.1418131868131868,0.17,0.15297716293368468,0.612,3.0850179195404053,0.0038230419158935547,135,75.0,200,100,chaotic_0.25_0.0_xgboost.pkl,2025-12-17 10:35:33
chaotic,0.25,0.01,random_forest,0.19,0.16656204906204905,0.19,0.17431686734318316,0.6265,0.17706918716430664,0.07071089744567871,135,75.0,200,100,chaotic_0.25_0.01_random_forest.pkl,2025-12-17 10:35:44
chaotic,0.25,0.01,svm,0.19,0.19398496240601504,0.19,0.1415728876240556,0.6357777777777778,0.02811574935913086,0.009799957275390625,135,75.0,200,100,chaotic_0.25_0.01_svm.pkl,2025-12-17 10:35:45
chaotic,0.25,0.01,xgboost,0.17,0.1418131868131868,0.17,0.15297716293368468,0.612,2.9272263050079346,0.004265546798706055,135,75.0,200,100,chaotic_0.25_0.01_xgboost.pkl,2025-12-17 10:35:48
chaotic,0.5,0.0,random_forest,0.19,0.16656204906204905,0.19,0.17431686734318316,0.6265,0.1967306137084961,0.06985807418823242,270,50.0,200,100,chaotic_0.5_0.0_random_forest.pkl,2025-12-17 10:36:00
chaotic,0.5,0.0,svm,0.19,0.19398496240601504,0.19,0.1415728876240556,0.6357777777777778,0.033899545669555664,0.009621620178222656,270,50.0,200,100,chaotic_0.5_0.0_svm.pkl,2025-12-17 10:36:00
chaotic,0.5,0.0,xgboost,0.17,0.1418131868131868,0.17,0.15297716293368468,0.612,4.831487417221069,0.004276752471923828,270,50.0,200,100,chaotic_0.5_0.0_xgboost.pkl,2025-12-17 10:36:06
chaotic,0.5,0.01,random_forest,0.19,0.16656204906204905,0.19,0.17431686734318316,0.6265,0.18261384963989258,0.07132434844970703,270,50.0,200,100,chaotic_0.5_0.01_random_forest.pkl,2025-12-17 10:36:17
chaotic,0.5,0.01,svm,0.19,0.19398496240601504,0.19,0.1415728876240556,0.6357777777777778,0.03546619415283203,0.010668754577636719,270,50.0,200,100,chaotic_0.5_0.01_svm.pkl,2025-12-17 10:36:18
chaotic,0.5,0.01,xgboost,0.17,0.1418131868131868,0.17,0.15297716293368468,0.612,4.947214841842651,0.004385709762573242,270,50.0,200,100,chaotic_0.5_0.01_xgboost.pkl,2025-12-17 10:36:23
chaotic,0.75,0.0,random_forest,0.19,0.16656204906204905,0.19,0.17431686734318316,0.6265,0.19933056831359863,0.07101058959960938,405,25.0,200,100,chaotic_0.75_0.0_random_forest.pkl,2025-12-17 10:36:34
chaotic,0.75,0.0,svm,0.19,0.19398496240601504,0.19,0.1415728876240556,0.6357777777777778,0.044167280197143555,0.0165255069732666,405,25.0,200,100,chaotic_0.75_0.0_svm.pkl,2025-12-17 10:36:35
chaotic,0.75,0.0,xgboost,0.17,0.1418131868131868,0.17,0.15297716293368468,0.612,7.091681957244873,0.004441261291503906,405,25.0,200,100,chaotic_0.75_0.0_xgboost.pkl,2025-12-17 10:36:43
chaotic,0.75,0.01,random_forest,0.19,0.16656204906204905,0.19,0.17431686734318316,0.6265,0.1936037540435791,0.0685873031616211,405,25.0,200,100,chaotic_0.75_0.01_random_forest.pkl,2025-12-17 10:36:54
chaotic,0.75,0.01,svm,0.19,0.19398496240601504,0.19,0.1415728876240556,0.6357777777777778,0.045728206634521484,0.013889074325561523,405,25.0,200,100,chaotic_0.75_0.01_svm.pkl,2025-12-17 10:36:55
chaotic,0.75,0.01,xgboost,0.17,0.1418131868131868,0.17,0.15297716293368468,0.612,6.949448585510254,0.004729032516479492,405,25.0,200,100,chaotic_0.75_0.01_xgboost.pkl,2025-12-17 10:37:02
chaotic,1.0,0.0,random_forest,0.51,0.4593362193362194,0.51,0.4576140536330255,0.8721666666666665,0.1863877773284912,0.0703129768371582,540,0.0,200,100,chaotic_1.0_0.0_random_forest.pkl,2025-12-17 10:37:13
chaotic,1.0,0.0,svm,0.51,0.45587229763700354,0.51,0.4565681298106927,0.8117777777777778,0.07398009300231934,0.016799211502075195,540,0.0,200,100,chaotic_1.0_0.0_svm.pkl,2025-12-17 10:37:14
chaotic,1.0,0.0,xgboost,0.57,0.5928733766233766,0.57,0.5061305219548253,0.8787777777777777,4.058893442153931,0.0038144588470458984,540,0.0,200,100,chaotic_1.0_0.0_xgboost.pkl,2025-12-17 10:37:19
chaotic,1.0,0.01,random_forest,0.51,0.4593362193362194,0.51,0.4576140536330255,0.8721666666666665,0.18184685707092285,0.07056784629821777,540,0.0,200,100,chaotic_1.0_0.01_random_forest.pkl,2025-12-17 10:37:30
