compression_method,compression_ratio,classifier,accuracy,precision,recall,f1_score,roc_auc,train_time,test_time,feature_dim_original,feature_dim_compressed,compression_rate,timestamp
bernoulli,0.25,random_forest,0.49183303085299457,0.4889595570084377,0.49183303085299457,0.485790504418975,0.8709943702056991,1.7629413604736328,0.03816866874694824,747,186,75.0,2025-12-17 09:39:37
bernoulli,0.25,svm,0.5269207501512402,0.5337431431724015,0.5269207501512402,0.5136943631066934,0.8913181199370535,29.433921098709106,3.710280179977417,747,186,75.0,2025-12-17 09:40:13
bernoulli,0.25,xgboost,0.5245009074410163,0.5296252193533664,0.5245009074410163,0.5214066447203776,0.8828685677104727,12.827297687530518,0.009371519088745117,747,186,75.0,2025-12-17 09:40:26
bernoulli,0.5,random_forest,0.49183303085299457,0.49063001363729347,0.49183303085299457,0.48478543358608855,0.8740396976696829,2.6879618167877197,0.03941178321838379,747,373,50.0,2025-12-17 09:56:40
bernoulli,0.5,svm,0.5245009074410163,0.5341085487801395,0.5245009074410163,0.5120329316514108,0.8916979826047191,49.807111740112305,6.689697027206421,747,373,50.0,2025-12-17 09:57:43
bernoulli,0.5,xgboost,0.5323653962492438,0.5370184828508936,0.5323653962492438,0.5283557264697801,0.892117204900424,24.846481561660767,0.012015581130981445,747,373,50.0,2025-12-17 09:58:08
bernoulli,0.75,random_forest,0.5021173623714459,0.5019951781840802,0.5021173623714459,0.49524695037886124,0.8715460402705563,2.881344795227051,0.040702104568481445,747,560,25.0,2025-12-17 10:15:34
bernoulli,0.75,svm,0.5317604355716878,0.5441958684372675,0.5317604355716878,0.5198233630398928,0.8918177449483382,47.517959117889404,6.665945053100586,747,560,25.0,2025-12-17 10:16:35
bernoulli,0.75,xgboost,0.5329703569267997,0.5425781749751492,0.5329703569267997,0.5297112089886205,0.8942898165613198,24.366225242614746,0.010954856872558594,747,560,25.0,2025-12-17 10:17:00
bernoulli,1.0,random_forest,0.7259528130671506,0.7370856997468188,0.7259528130671506,0.7231930789959411,0.9497194785231085,2.9574193954467773,0.03588056564331055,747,747,0.0,2025-12-17 10:29:48
bernoulli,1.0,svm,0.7568058076225045,0.7602695170056009,0.7568058076225045,0.7521076928787523,0.964475198894592,47.022301197052,6.294750928878784,747,747,0.0,2025-12-17 10:30:47
bernoulli,1.0,xgboost,0.7416817906836055,0.7544071105522198,0.7416817906836055,0.7384726354523969,0.9589659991847963,26.84178590774536,0.011378049850463867,747,747,0.0,2025-12-17 10:31:14
